date,date,ave_t,max_t,min_t
2007-06-01,2007-06-01,23.2,27.1,20.0
2007-07-01,2007-07-01,24.4,27.4,21.8
2007-08-01,2007-08-01,29.0,33.0,25.9
2007-09-01,2007-09-01,25.2,28.5,22.4
2007-10-01,2007-10-01,19.0,22.2,16.1
2007-11-01,2007-11-01,13.3,16.6,10.2
2007-12-01,2007-12-01,9.0,12.6,5.6
2008-01-01,2008-01-01,5.9,9.4,2.7
2008-02-01,2008-02-01,5.5,9.6,1.9
2008-03-01,2008-03-01,10.7,14.9,7.2
2008-04-01,2008-04-01,14.7,18.4,11.4
2008-05-01,2008-05-01,18.5,22.0,15.4
2008-06-01,2008-06-01,21.3,24.6,18.4
2008-07-01,2008-07-01,27.0,30.9,24.2
2008-08-01,2008-08-01,26.8,30.7,24.1
2008-09-01,2008-09-01,24.4,27.7,21.7
2008-10-01,2008-10-01,19.4,22.6,16.4
2008-11-01,2008-11-01,13.1,16.4,10.0
2008-12-01,2008-12-01,9.8,13.7,6.0
2009-01-01,2009-01-01,6.8,10.2,3.5
2009-02-01,2009-02-01,7.8,11.5,4.4
2009-03-01,2009-03-01,10.0,13.7,6.3
2009-04-01,2009-04-01,15.7,20.2,11.9
2009-05-01,2009-05-01,20.1,23.6,16.9
2009-06-01,2009-06-01,22.5,25.8,19.8
2009-07-01,2009-07-01,26.3,29.3,23.5
2009-08-01,2009-08-01,26.6,30.1,23.8
2009-09-01,2009-09-01,23.0,26.5,20.2
2009-10-01,2009-10-01,19.0,22.3,16.0
2009-11-01,2009-11-01,13.5,17.0,10.1
2009-12-01,2009-12-01,9.0,12.4,6.2
2010-01-01,2010-01-01,7.0,11.0,3.0
2010-02-01,2010-02-01,6.5,9.9,3.0
2010-03-01,2010-03-01,9.1,13.2,5.1
2010-04-01,2010-04-01,12.4,16.6,8.6
2010-05-01,2010-05-01,19.0,23.0,15.4
2010-06-01,2010-06-01,23.6,27.5,20.5
2010-07-01,2010-07-01,28.0,31.6,25.0
2010-08-01,2010-08-01,29.6,33.5,27.0
2010-09-01,2010-09-01,25.1,29.0,22.3
2010-10-01,2010-10-01,18.9,21.8,16.5
2010-11-01,2010-11-01,13.5,17.2,10.0
2010-12-01,2010-12-01,9.9,13.7,6.2
2011-01-01,2011-01-01,5.1,9.1,1.5
2011-02-01,2011-02-01,7.0,11.2,3.2
2011-03-01,2011-03-01,8.1,12.3,4.0
2011-04-01,2011-04-01,14.5,18.9,10.3
2011-05-01,2011-05-01,18.5,22.2,15.0
2011-06-01,2011-06-01,22.8,26.0,19.9
2011-07-01,2011-07-01,27.3,30.9,24.5
2011-08-01,2011-08-01,27.5,31.2,24.6
2011-09-01,2011-09-01,25.1,28.8,22.0
2011-10-01,2011-10-01,19.5,23.0,16.5
2011-11-01,2011-11-01,14.9,18.3,11.7
2011-12-01,2011-12-01,7.5,11.1,4.2
2012-01-01,2012-01-01,4.8,8.3,1.8
